Age,Education,Degree,Skills,Technical Skills,Soft Skills,Work Experience,Interests,Career Interests,Personality/Strengths,Preferred Work Environment,Salary Expectation,Location Preference,Work-Life Balance Preference,Recommended_Career
32,Undergraduate,BCA,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",4 years,"Marketing, Branding",Digital Marketing,"Leadership, Communication",Remote,97826,Bangalore,Low,Marketing Manager
31,Postgraduate,Diploma in Management,"Research, Programming","Digital Marketing, Excel, Canva","Communication, Creativity, Teamwork",3 years,"Education, Research",Business Analytics,"Detail Oriented, Analytical",Hybrid,90031,Hyderabad,Medium,Data Analyst
30,Postgraduate,BA,"Research, Programming","Python, SQL, TensorFlow","Communication, Creativity, Teamwork",5 years,"Marketing, Branding",Business Analytics,"Curious, Analytical",Remote,94267,Mumbai,High,Data Scientist
38,Postgraduate,M.Sc,"Research, Creativity","Figma, UI Design, Adobe XD","Creativity, Adaptability, Critical Thinking",3 years,"Design, User Experience",UI/UX Design,"Leadership, Communication",Remote,63980,Remote,High,UI/UX Designer
32,Diploma,MCA,"Communication, Analysis","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",8 years,"Design, User Experience",Data Analytics,"Leadership, Communication",Hybrid,75972,Hyderabad,High,Marketing Manager
42,Postgraduate,M.Sc,"Communication, Analysis","SEO, Google Analytics, Social Media","Problem Solving, Communication",1 year,"Education, Research",Marketing,"Creative, Persuasive",Hybrid,96354,Pune,Medium,Marketing Manager
34,Diploma,B.Com,"Creativity, Communication","Python, Machine Learning, Statistics","Problem Solving, Communication",4 years,"Design, User Experience",Data Analytics,"Detail Oriented, Analytical",Remote,90749,Pune,Low,Data Analyst
22,Postgraduate,BBA,"Research, Communication","SPSS, Excel, Statistics","Problem Solving, Communication",1 year,"Education, Research",Data Analytics,"Analytical, Curious",Hybrid,80330,Pune,Low,Academic Researcher
29,Diploma,BCA,"Communication, Analysis","Python, SPSS, Research Methods","Teamwork, Creativity, Adaptability",5 years,"Marketing, Branding",Digital Marketing,"Creative, Persuasive",Office,106063,Mumbai,High,Marketing Manager
37,Undergraduate,BCA,"Leadership, Communication","Digital Marketing, Excel, Canva","Communication, Creativity, Teamwork",14 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Hybrid,79870,Pune,Low,Marketing Manager
39,Postgraduate,BCA,"Design, Communication","Research Methods, SPSS, Python, Power BI","Problem Solving, Communication",12 years,"Education, Research",Data Analytics,"Analytical, Curious",Office,54748,Remote,Low,Data Analyst
42,Postgraduate,Diploma in Management,"Research, Creativity","Figma, Photoshop, Canva","Teamwork, Creativity, Adaptability",6 years,"Creative Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Remote,88674,Ahmedabad,High,UI/UX Designer
32,Postgraduate,MBA,"Creativity, Communication","Figma, Photoshop, Canva","Problem Solving, Communication",8 years,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Remote,91758,Bangalore,Low,UI/UX Designer
44,Diploma,B.Sc,"Analysis, Programming","Digital Marketing, Excel, Canva","Creativity, Adaptability, Critical Thinking",0 years,"Branding, Social Media",Digital Marketing,"Leadership, Communication",Hybrid,51722,Hyderabad,Low,Marketing Manager
35,Undergraduate,MCA,"Leadership, Communication","Figma, UI Design, Adobe XD","Creativity, Adaptability, Critical Thinking",5 years,"Marketing, Branding",Marketing,"Leadership, Communication",Office,83110,Bangalore,High,Marketing Manager
39,Postgraduate,M.Sc,"Creativity, Communication","Adobe XD, UI Design, Figma","Teamwork, Creativity, Adaptability",13 years,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Office,66850,Pune,Low,UI/UX Designer
24,Undergraduate,BA,"Creativity, Programming","Research Methods, SPSS, Python, Power BI","Problem Solving, Communication",4 years,"Business Intelligence, Analytics",Business Analytics,"Detail Oriented, Analytical",Hybrid,94693,Delhi,Medium,Data Analyst
27,Undergraduate,B.Com,"Creativity, Programming","SQL, Excel, Power BI","Communication, Creativity, Teamwork",1 year,"Business Intelligence, Analytics",Business Analytics,"Detail Oriented, Analytical",Remote,59327,Remote,Low,Data Analyst
29,Diploma,M.Sc,"Programming, Research","Python, SPSS, Research Methods","Teamwork, Time Management, Problem Solving",4 years,"Data Science, Technology",Academic Research,"Detail Oriented, Analytical",Remote,70201,Mumbai,Low,Academic Researcher
20,Diploma,M.Sc,"Programming, Research","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",0 years,"Research, Education",Academic Research,"Detail Oriented, Analytical",Hybrid,36170,Mumbai,Medium,Academic Researcher
31,Undergraduate,MBA,"Research, Creativity","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",0 years,"Design, User Experience",Marketing,"Creative, Detail Oriented",Office,44417,Remote,Low,UI/UX Designer
39,Undergraduate,MA,"Creativity, Programming","SQL, Excel, Power BI","Creativity, Adaptability, Critical Thinking",9 years,"Business, Analytics",Data Analytics,"Detail Oriented, Analytical",Remote,87952,Ahmedabad,High,Data Analyst
27,Postgraduate,MBA,"Research, Creativity","Machine Learning, Python, SQL","Problem Solving, Communication",2 years,"Creative Design, User Experience",UI/UX Design,"Analytical, Curious",Hybrid,66315,Bangalore,High,UI/UX Designer
35,Diploma,Diploma in Management,"Research, Analysis","Digital Marketing, Excel, Canva","Teamwork, Time Management, Problem Solving",1 year,"Business, Analytics",Marketing,"Leadership, Communication",Hybrid,55330,Ahmedabad,Low,Marketing Manager
35,Postgraduate,BA,"Creativity, Communication","Python, SPSS, Research Methods","Creativity, Adaptability, Critical Thinking",3 years,"Design, User Experience",Creative Design,"Innovative, Empathetic",Office,86889,Pune,High,UI/UX Designer
43,Postgraduate,BCA,"Research, Analysis","Python, SPSS, Research Methods","Communication, Creativity, Teamwork",6 years,"Research, Education",Academic Research,"Analytical, Curious",Hybrid,60789,Pune,Medium,Academic Researcher
21,Diploma,Diploma in Computer,"Research, Programming","Python, SPSS, Research Methods","Leadership, Time Management, Critical Thinking",0 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,114530,Bangalore,Medium,Data Scientist
45,Diploma,BA,"Research, Communication","Python, SPSS, Research Methods","Teamwork, Time Management, Problem Solving",14 years,"Research, Education",Research,"Analytical, Curious",Hybrid,72927,Hyderabad,High,Academic Researcher
42,Diploma,BA,"Leadership, Programming","Machine Learning, Python, SQL","Communication, Creativity, Teamwork",4 years,"Data Science, Technology",Data Science,"Curious, Analytical",Remote,110480,Delhi,Medium,Data Scientist
30,Postgraduate,B.Com,"Leadership, Programming","Machine Learning, Python, SQL","Creativity, Adaptability, Critical Thinking",10 years,"Data Science, Technology",Machine Learning,"Detail Oriented, Analytical",Office,90243,Mumbai,Medium,Data Scientist
20,Postgraduate,B.Sc,"Research, Programming","SQL, Excel, Power BI","Teamwork, Time Management, Problem Solving",0 years,"Business Intelligence, Analytics",Data Analytics,"Analytical, Curious",Office,69346,Pune,Medium,Data Analyst
28,Diploma,B.Des,"Creativity, Communication","SEO, Google Analytics, Social Media","Teamwork, Creativity, Adaptability",0 years,"Creative Design, User Experience",Creative Design,"Creative, Detail Oriented",Office,47203,Hyderabad,Medium,UI/UX Designer
26,Undergraduate,Diploma in Management,"Research, Programming","Python, SQL, Excel, MS Office","Teamwork, Creativity, Adaptability",3 years,"Data Science, Technology",Data Science,"Curious, Analytical",Hybrid,73636,Bangalore,Low,Data Scientist
43,Undergraduate,BCA,"Creativity, Programming","SQL, Excel, Power BI","Problem Solving, Communication",8 years,"Business Intelligence, Analytics",Business Analytics,"Analytical, Curious",Office,93067,Bangalore,Medium,Data Analyst
45,Postgraduate,MCA,"Design, Communication","Figma, Photoshop, Canva","Creativity, Adaptability, Critical Thinking",5 years,"Creative Design, User Experience",UI/UX Design,"Innovative, Empathetic",Hybrid,55893,Mumbai,Medium,UI/UX Designer
28,Diploma,B.Com,"Programming, Research","SEO, Google Analytics, Social Media","Leadership, Time Management, Critical Thinking",4 years,"Education, Research",Research,"Detail Oriented, Analytical",Remote,59353,Ahmedabad,Low,Academic Researcher
42,Diploma,M.Sc,"Research, Analysis","Python, SQL, Excel, MS Office","Teamwork, Creativity, Adaptability",14 years,"Business Intelligence, Analytics",Business Analytics,"Analytical, Curious",Hybrid,84119,Ahmedabad,Low,Data Analyst
29,Postgraduate,MBA,"Creativity, Programming","SPSS, Excel, Statistics","Teamwork, Creativity, Adaptability",3 years,"Business, Analytics",Data Analytics,"Analytical, Curious",Office,64467,Hyderabad,Medium,Data Analyst
37,Undergraduate,BCA,"Design, Communication","Figma, UI Design, Adobe XD","Communication, Creativity, Teamwork",12 years,"Business Intelligence, Analytics",Creative Design,"Creative, Persuasive",Remote,62176,Remote,High,UI/UX Designer
24,Diploma,M.Sc,"Leadership, Communication","SQL, Tableau, Excel","Teamwork, Creativity, Adaptability",1 year,"Branding, Social Media",Digital Marketing,"Leadership, Communication",Office,87146,Ahmedabad,Medium,Marketing Manager
32,Diploma,M.Sc,"Programming, Research","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",8 years,"Marketing, Branding",Marketing,"Leadership, Communication",Remote,71294,Hyderabad,High,Marketing Manager
38,Undergraduate,B.Com,"Communication, Analysis","Figma, Photoshop, Canva","Teamwork, Creativity, Adaptability",15 years,"Marketing, Branding",Marketing,"Leadership, Communication",Office,121821,Delhi,Medium,Marketing Manager
28,Diploma,B.Com,"Programming, Analysis","Python, Machine Learning, Statistics","Creativity, Adaptability, Critical Thinking",4 years,"Data Science, Technology",Data Science,"Innovative, Empathetic",Remote,80926,Ahmedabad,Medium,Data Scientist
34,Postgraduate,MBA,"Research, Analysis","Figma, Photoshop, Canva","Communication, Creativity, Teamwork",13 years,"Business, Analytics",Creative Design,"Creative, Detail Oriented",Hybrid,72558,Bangalore,Medium,UI/UX Designer
25,Postgraduate,Diploma in Management,"Programming, Research","Adobe XD, UI Design, Figma","Teamwork, Creativity, Adaptability",5 years,"Design, User Experience",UI/UX Design,"Innovative, Empathetic",Office,63137,Remote,Medium,UI/UX Designer
44,Diploma,BCA,"Creativity, Communication","Machine Learning, Python, SQL","Leadership, Time Management, Critical Thinking",4 years,"Marketing, Branding",UI/UX Design,"Creative, Detail Oriented",Hybrid,52787,Bangalore,High,UI/UX Designer
41,Undergraduate,M.Sc,"Research, Programming","Python, SPSS, Research Methods","Creativity, Adaptability, Critical Thinking",8 years,"Design, User Experience",Academic Research,"Innovative, Empathetic",Remote,62147,Pune,Low,UI/UX Designer
36,Postgraduate,B.Com,"Research, Communication","Python, SPSS, Research Methods","Leadership, Time Management, Critical Thinking",6 years,"Education, Research",Research,"Detail Oriented, Analytical",Office,54493,Bangalore,Medium,Academic Researcher
20,Postgraduate,B.Sc,"Creativity, Programming","SQL, Excel, Power BI","Teamwork, Time Management, Problem Solving",0 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Remote,45701,Ahmedabad,Low,Data Analyst
24,Postgraduate,MA,"Leadership, Programming","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",0 years,"Data Science, Technology",Machine Learning,"Curious, Analytical",Office,82041,Bangalore,High,Data Scientist
35,Undergraduate,M.Sc,"Creativity, Communication","Figma, UI Design, Adobe XD","Leadership, Time Management, Critical Thinking",13 years,"Creative Design, User Experience",UI/UX Design,"Analytical, Innovative",Remote,88970,Delhi,High,UI/UX Designer
39,Diploma,B.Com,"Leadership, Programming","SEO, Google Analytics, Social Media","Teamwork, Time Management, Problem Solving",3 years,"Analytics, Data Science",Machine Learning,"Detail Oriented, Analytical",Remote,81219,Ahmedabad,Medium,Data Scientist
24,Postgraduate,MA,"Programming, Research","SQL, Tableau, Excel","Problem Solving, Communication",2 years,"Education, Research",Academic Research,"Detail Oriented, Analytical",Office,43657,Hyderabad,Low,Academic Researcher
45,Postgraduate,Diploma in Management,"Research, Analysis","Python, SQL, Excel, MS Office","Creativity, Adaptability, Critical Thinking",10 years,"Business Intelligence, Analytics",Machine Learning,"Detail Oriented, Analytical",Hybrid,98798,Remote,Low,Data Analyst
30,Diploma,MA,"Design, Communication","SPSS, Excel, Statistics","Communication, Creativity, Teamwork",1 year,"Research, Education",Academic Research,"Creative, Detail Oriented",Office,42891,Bangalore,Medium,Academic Researcher
32,Undergraduate,BBA,"Communication, Analysis","Digital Marketing, Excel, Canva","Problem Solving, Communication",6 years,"Marketing, Branding",Digital Marketing,"Leadership, Communication",Office,64875,Remote,High,Marketing Manager
28,Diploma,Diploma in Management,"Research, Programming","Machine Learning, Python, SQL","Problem Solving, Communication",6 years,"Business, Analytics",Digital Marketing,"Creative, Persuasive",Hybrid,97613,Mumbai,Medium,Marketing Manager
44,Diploma,BA,"Leadership, Communication","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",2 years,"Marketing, Branding",Research,"Leadership, Communication",Office,59828,Pune,Medium,Marketing Manager
27,Diploma,BBA,"Research, Programming","Python, SQL, TensorFlow","Communication, Creativity, Teamwork",7 years,"Design, User Experience",Machine Learning,"Curious, Analytical",Hybrid,93872,Hyderabad,Medium,Data Scientist
24,Postgraduate,MA,"Research, Programming","Machine Learning, Python, SQL","Problem Solving, Communication",1 year,"Analytics, Data Science",Data Science,"Creative, Persuasive",Office,95145,Remote,Low,Data Scientist
23,Undergraduate,B.Sc,"Programming, Research","Figma, UI Design, Adobe XD","Leadership, Time Management, Critical Thinking",3 years,"Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Remote,53946,Remote,Medium,UI/UX Designer
22,Diploma,BBA,"Research, Programming","Python, SQL, TensorFlow","Teamwork, Creativity, Adaptability",0 years,"Business, Analytics",Machine Learning,"Analytical, Innovative",Hybrid,70578,Bangalore,Medium,Data Scientist
28,Undergraduate,Diploma in Computer,"Programming, Analysis","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",3 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Remote,116786,Pune,High,Data Scientist
30,Postgraduate,M.Sc,"Research, Programming","Figma, Photoshop, Canva","Problem Solving, Communication",8 years,"Analytics, Data Science",Data Science,"Analytical, Innovative",Office,89022,Remote,Medium,Data Scientist
29,Undergraduate,BBA,"Programming, Analysis","Figma, UI Design, Adobe XD","Leadership, Time Management, Critical Thinking",9 years,"Data Science, Technology",Data Science,"Curious, Analytical",Hybrid,105319,Mumbai,Medium,Data Scientist
33,Undergraduate,Diploma in Management,"Analysis, Programming","Python, SQL, Excel, MS Office","Problem Solving, Communication",1 year,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Hybrid,80907,Hyderabad,Low,Data Analyst
27,Undergraduate,MBA,"Research, Programming","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",1 year,"Data Science, Technology",Machine Learning,"Analytical, Innovative",Hybrid,71916,Ahmedabad,Low,Data Scientist
33,Postgraduate,BA,"Leadership, Communication","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",2 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Hybrid,62269,Remote,Low,Marketing Manager
31,Postgraduate,BBA,"Research, Creativity","Figma, UI Design, Adobe XD","Teamwork, Time Management, Problem Solving",3 years,"Data Science, Technology",Digital Marketing,"Curious, Analytical",Office,107614,Bangalore,Low,Data Scientist
24,Diploma,M.Sc,"Leadership, Communication","SPSS, Excel, Statistics","Communication, Creativity, Teamwork",3 years,"Education, Research",Academic Research,"Detail Oriented, Analytical",Office,61786,Bangalore,Medium,Academic Researcher
26,Diploma,MCA,"Creativity, Programming","SQL, Tableau, Excel","Teamwork, Creativity, Adaptability",4 years,"Business, Analytics",Business Analytics,"Curious, Analytical",Hybrid,91220,Ahmedabad,Medium,Data Analyst
39,Undergraduate,B.Des,"Leadership, Programming","SPSS, Excel, Statistics","Problem Solving, Communication",3 years,"Analytics, Data Science",Digital Marketing,"Analytical, Innovative",Office,100060,Mumbai,Medium,Data Scientist
26,Postgraduate,B.Des,"Research, Programming","SPSS, Excel, Statistics","Creativity, Adaptability, Critical Thinking",3 years,"Data Science, Technology",Academic Research,"Analytical, Curious",Remote,61443,Pune,Medium,Academic Researcher
33,Postgraduate,MBA,"Research, Programming","SQL, Tableau, Excel","Problem Solving, Communication",10 years,"Design, User Experience",Business Analytics,"Detail Oriented, Analytical",Hybrid,75187,Mumbai,Low,Data Analyst
42,Diploma,BA,"Research, Programming","Python, SQL, TensorFlow","Creativity, Adaptability, Critical Thinking",8 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Office,102448,Delhi,Low,Data Scientist
32,Postgraduate,MA,"Research, Analysis","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",2 years,"Research, Education",Research,"Detail Oriented, Analytical",Remote,64383,Ahmedabad,Medium,Academic Researcher
32,Postgraduate,B.Com,"Communication, Analysis","SEO, Google Analytics, Social Media","Leadership, Time Management, Critical Thinking",12 years,"Education, Research",Research,"Creative, Persuasive",Office,57460,Mumbai,Medium,Academic Researcher
29,Diploma,B.Com,"Creativity, Communication","SEO, Google Analytics, Social Media","Teamwork, Time Management, Problem Solving",0 years,"Branding, Social Media",Marketing,"Leadership, Communication",Remote,53450,Pune,Low,Marketing Manager
24,Diploma,Diploma in Management,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",2 years,"Business, Analytics",Marketing,"Leadership, Communication",Office,92389,Delhi,Medium,Marketing Manager
21,Diploma,Diploma in Management,"Creativity, Communication","SEO, Google Analytics, Social Media","Problem Solving, Communication",1 year,"Marketing, Branding",Machine Learning,"Creative, Persuasive",Hybrid,87413,Bangalore,Medium,Marketing Manager
29,Diploma,BCA,"Leadership, Communication","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",2 years,"Branding, Social Media",Creative Design,"Analytical, Innovative",Remote,103989,Ahmedabad,High,Data Scientist
45,Postgraduate,B.Com,"Creativity, Communication","Adobe XD, UI Design, Figma","Teamwork, Creativity, Adaptability",1 year,"Creative Design, User Experience",Creative Design,"Creative, Detail Oriented",Hybrid,54309,Mumbai,High,UI/UX Designer
23,Undergraduate,MCA,"Research, Programming","Python, SQL, TensorFlow","Problem Solving, Communication",3 years,"Marketing, Branding",Data Science,"Detail Oriented, Analytical",Remote,104140,Delhi,Low,Data Scientist
22,Postgraduate,BCA,"Creativity, Communication","Figma, UI Design, Adobe XD","Problem Solving, Communication",1 year,"Design, User Experience",Creative Design,"Creative, Detail Oriented",Remote,53393,Pune,Low,UI/UX Designer
37,Undergraduate,B.Des,"Creativity, Communication","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",7 years,"Marketing, Branding",Academic Research,"Detail Oriented, Analytical",Hybrid,60610,Bangalore,High,Marketing Manager
40,Postgraduate,B.Sc,"Creativity, Communication","Digital Marketing, Excel, Canva","Teamwork, Creativity, Adaptability",6 years,"Branding, Social Media",Digital Marketing,"Analytical, Curious",Office,101575,Mumbai,Medium,Marketing Manager
21,Diploma,B.Sc,"Design, Communication","Figma, Photoshop, Canva","Teamwork, Time Management, Problem Solving",0 years,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Hybrid,59281,Pune,Low,UI/UX Designer
38,Postgraduate,M.Sc,"Analysis, Programming","Adobe XD, UI Design, Figma","Communication, Creativity, Teamwork",2 years,"Education, Research",Creative Design,"Creative, Detail Oriented",Remote,65286,Mumbai,Medium,UI/UX Designer
36,Postgraduate,MA,"Research, Analysis","Python, SPSS, Research Methods","Problem Solving, Communication",5 years,"Education, Research",Academic Research,"Analytical, Curious",Office,57425,Bangalore,High,Academic Researcher
37,Postgraduate,B.Sc,"Research, Programming","Python, Machine Learning, Statistics","Teamwork, Creativity, Adaptability",9 years,"Analytics, Data Science",Data Science,"Creative, Persuasive",Remote,106259,Mumbai,High,Data Scientist
39,Undergraduate,B.Com,"Leadership, Programming","Python, SQL, TensorFlow","Problem Solving, Communication",1 year,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Hybrid,80896,Remote,High,Data Scientist
24,Undergraduate,B.Sc,"Programming, Research","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",4 years,"Research, Education",Research,"Detail Oriented, Analytical",Remote,41491,Hyderabad,Low,Academic Researcher
44,Postgraduate,MBA,"Analysis, Programming","Research Methods, SPSS, Python, Power BI","Teamwork, Time Management, Problem Solving",13 years,"Research, Education",Research,"Detail Oriented, Analytical",Remote,67621,Remote,Low,Academic Researcher
25,Diploma,B.Sc,"Design, Communication","Python, SPSS, Research Methods","Communication, Creativity, Teamwork",0 years,"Data Science, Technology",Creative Design,"Detail Oriented, Analytical",Office,79538,Ahmedabad,High,Academic Researcher
39,Undergraduate,Diploma in Management,"Research, Communication","SQL, Excel, Power BI","Teamwork, Time Management, Problem Solving",1 year,"Data Science, Technology",Machine Learning,"Curious, Analytical",Office,93513,Delhi,Low,Data Scientist
44,Postgraduate,B.Com,"Programming, Analysis","Research Methods, SPSS, Python, Power BI","Creativity, Adaptability, Critical Thinking",11 years,"Data Science, Technology",Machine Learning,"Detail Oriented, Analytical",Remote,107445,Pune,Medium,Data Scientist
32,Diploma,Diploma in Computer,"Research, Programming","Python, SQL, TensorFlow","Teamwork, Time Management, Problem Solving",7 years,"Business Intelligence, Analytics",Business Analytics,"Detail Oriented, Analytical",Hybrid,62709,Remote,Medium,Data Analyst
28,Undergraduate,MA,"Leadership, Programming","Research Methods, SPSS, Python, Power BI","Problem Solving, Communication",6 years,"Research, Education",Digital Marketing,"Detail Oriented, Analytical",Hybrid,53154,Ahmedabad,High,Academic Researcher
31,Undergraduate,B.Des,"Creativity, Communication","SEO, Google Analytics, Social Media","Teamwork, Creativity, Adaptability",0 years,"Branding, Social Media",Marketing,"Leadership, Communication",Remote,50819,Ahmedabad,Low,Marketing Manager
38,Postgraduate,Diploma in Management,"Research, Analysis","SQL, Tableau, Excel","Creativity, Adaptability, Critical Thinking",9 years,"Education, Research",Creative Design,"Innovative, Empathetic",Office,56008,Delhi,Medium,UI/UX Designer
41,Diploma,MCA,"Leadership, Programming","Python, SQL, TensorFlow","Problem Solving, Communication",3 years,"Analytics, Data Science",Machine Learning,"Detail Oriented, Analytical",Hybrid,108840,Pune,High,Data Scientist
44,Postgraduate,M.Sc,"Research, Communication","SEO, Google Analytics, Social Media","Creativity, Adaptability, Critical Thinking",2 years,"Marketing, Branding",Digital Marketing,"Creative, Persuasive",Remote,98186,Ahmedabad,Low,Marketing Manager
22,Undergraduate,BBA,"Creativity, Programming","SQL, Excel, Power BI","Leadership, Time Management, Critical Thinking",2 years,"Branding, Social Media",Business Analytics,"Analytical, Curious",Remote,89902,Pune,High,Data Analyst
21,Postgraduate,BA,"Research, Programming","SQL, Excel, Power BI","Communication, Creativity, Teamwork",1 year,"Business, Analytics",Business Analytics,"Detail Oriented, Analytical",Remote,81606,Delhi,High,Data Analyst
31,Undergraduate,MCA,"Research, Analysis","Python, SPSS, Research Methods","Teamwork, Creativity, Adaptability",8 years,"Research, Education",Academic Research,"Detail Oriented, Analytical",Office,58812,Mumbai,Medium,Academic Researcher
21,Diploma,B.Des,"Leadership, Communication","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",1 year,"Branding, Social Media",Marketing,"Leadership, Communication",Hybrid,89610,Remote,Medium,Marketing Manager
41,Postgraduate,BA,"Research, Communication","Python, SPSS, Research Methods","Teamwork, Time Management, Problem Solving",0 years,"Design, User Experience",Marketing,"Detail Oriented, Analytical",Remote,55594,Hyderabad,High,Academic Researcher
31,Postgraduate,M.Sc,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Communication, Creativity, Teamwork",8 years,"Education, Research",Academic Research,"Leadership, Communication",Hybrid,105904,Hyderabad,High,Marketing Manager
39,Diploma,BCA,"Programming, Analysis","SEO, Google Analytics, Social Media","Problem Solving, Communication",0 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Remote,81962,Remote,High,Data Scientist
38,Undergraduate,BBA,"Programming, Analysis","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",12 years,"Data Science, Technology",Machine Learning,"Curious, Analytical",Hybrid,130393,Pune,High,Data Scientist
38,Undergraduate,MA,"Research, Programming","Python, SPSS, Research Methods","Teamwork, Creativity, Adaptability",2 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,89199,Delhi,Medium,Data Scientist
26,Undergraduate,Diploma in Management,"Research, Creativity","Adobe XD, UI Design, Figma","Teamwork, Time Management, Problem Solving",1 year,"Business, Analytics",UI/UX Design,"Creative, Detail Oriented",Hybrid,53953,Delhi,High,UI/UX Designer
43,Undergraduate,B.Com,"Design, Communication","Digital Marketing, Excel, Canva","Creativity, Adaptability, Critical Thinking",15 years,"Design, User Experience",UI/UX Design,"Curious, Analytical",Hybrid,106053,Pune,Medium,UI/UX Designer
30,Postgraduate,B.Des,"Research, Creativity","Figma, Photoshop, Canva","Teamwork, Time Management, Problem Solving",1 year,"Analytics, Data Science",UI/UX Design,"Innovative, Empathetic",Office,79938,Remote,Low,UI/UX Designer
36,Undergraduate,Diploma in Management,"Creativity, Communication","Figma, Photoshop, Canva","Leadership, Time Management, Critical Thinking",9 years,"Business, Analytics",Creative Design,"Innovative, Empathetic",Office,48855,Bangalore,Low,UI/UX Designer
21,Postgraduate,BCA,"Design, Communication","Figma, Photoshop, Canva","Teamwork, Creativity, Adaptability",1 year,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Hybrid,49211,Pune,Low,UI/UX Designer
22,Undergraduate,Diploma in Computer,"Research, Programming","SQL, Tableau, Excel","Leadership, Time Management, Critical Thinking",2 years,"Business Intelligence, Analytics",Data Science,"Analytical, Curious",Remote,53210,Mumbai,Low,Data Analyst
36,Postgraduate,BBA,"Leadership, Communication","SQL, Excel, Power BI","Leadership, Time Management, Critical Thinking",4 years,"Business, Analytics",Data Science,"Analytical, Curious",Remote,51339,Delhi,High,Data Analyst
43,Postgraduate,BCA,"Design, Communication","Figma, Photoshop, Canva","Teamwork, Time Management, Problem Solving",10 years,"Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Hybrid,93414,Pune,High,UI/UX Designer
31,Diploma,Diploma in Management,"Programming, Analysis","Python, Machine Learning, Statistics","Creativity, Adaptability, Critical Thinking",4 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Hybrid,97984,Ahmedabad,High,Data Scientist
33,Diploma,BA,"Programming, Analysis","Research Methods, SPSS, Python, Power BI","Teamwork, Time Management, Problem Solving",3 years,"Data Science, Technology",Data Science,"Analytical, Innovative",Remote,90521,Delhi,Medium,Data Scientist
30,Diploma,MCA,"Programming, Research","Figma, Photoshop, Canva","Creativity, Adaptability, Critical Thinking",2 years,"Design, User Experience",Creative Design,"Innovative, Empathetic",Remote,79578,Remote,Low,UI/UX Designer
27,Postgraduate,Diploma in Management,"Creativity, Programming","SQL, Tableau, Excel","Problem Solving, Communication",6 years,"Analytics, Data Science",Business Analytics,"Analytical, Curious",Remote,59865,Bangalore,Medium,Data Analyst
28,Diploma,Diploma in Management,"Design, Communication","Python, SQL, Excel, MS Office","Teamwork, Creativity, Adaptability",1 year,"Design, User Experience",Creative Design,"Creative, Detail Oriented",Remote,48318,Ahmedabad,Medium,UI/UX Designer
34,Postgraduate,MBA,"Analysis, Programming","SQL, Excel, Power BI","Teamwork, Time Management, Problem Solving",4 years,"Business Intelligence, Analytics",Digital Marketing,"Analytical, Curious",Office,78979,Mumbai,High,Data Analyst
26,Diploma,BBA,"Programming, Research","Research Methods, SPSS, Python, Power BI","Teamwork, Creativity, Adaptability",1 year,"Education, Research",UI/UX Design,"Detail Oriented, Analytical",Remote,57306,Pune,High,Academic Researcher
